EDIFICIO;ID_BDD_PPAL;REGION;SUBREGION;ESTADO;FECHA_MODIF;ESTADO_CONSTRUCTIVO;MOTIVO;FTTH_INHIBICION_DESDE;FTTH_INHIBICION_HASTA;HFC_INHIBICION_DESDE;HFC_INHIBICION_HASTA;ID_DIRECCION;CALLE;ALTURA;ID_BDD_SEC;CIUDAD;PARTIDO;PROVINCIA;DIRECCION
"CV595094";"qee";"AMBA";"CAPITAL NORTE";"OPERATIVO";"13/02/2026";"CONSTRUIDO";;;;;;"1316636";;;"Altura no valida en MU";"CAPITAL FEDERAL";"CAPITAL FEDERAL";"CAPITAL FEDERAL";"PRIMARIA"
"ED-000001";"88A04AFB-71CA-476E-9B99-4AADCBD91B3D";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000001";"12 DE OCTUBRE";"80";"88A04AFB-71CA-476E-9B99-4AADCBD91B3D";"VICENTE LOPEZ";"VICENTE LOPEZ";"BUENOS AIRES";"PRIMARIA"
"ED-000002";"8BDEC88E-FA50-48A7-A9C7-46099BB06785";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000002";"12 DE OCTUBRE";"86";"8BDEC88E-FA50-48A7-A9C7-46099BB06785";"VICENTE LOPEZ";"VICENTE LOPEZ";"BUENOS AIRES";"PRIMARIA"
"ED-000003";"4F3637E8-1092-491D-823F-945805A9A6D5";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000003";"25 DE MAYO";"14";"4F3637E8-1092-491D-823F-945805A9A6D5";"SAN ISIDRO - SI";"SAN ISIDRO";"BUENOS AIRES";"PRIMARIA"
"ED-000004";"A34CDC14-6513-4A5B-AACD-CF33CC544086";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000004";"25 DE MAYO";"33";"A34CDC14-6513-4A5B-AACD-CF33CC544086";"SAN ISIDRO - SI";"SAN ISIDRO";"BUENOS AIRES";"PRIMARIA"
"ED-000005";"15D30B0F-B670-4AC7-9EB5-BC3553DD6465";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000005";"25 DE MAYO";"36";"15D30B0F-B670-4AC7-9EB5-BC3553DD6465";"SAN ISIDRO - SI";"SAN ISIDRO";"BUENOS AIRES";"PRIMARIA"
"ED-000006";"5B042475-AB85-45BE-8451-B59C7A5A8EFF";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000006";"25 DE MAYO";"46";"5B042475-AB85-45BE-8451-B59C7A5A8EFF";"SAN ISIDRO - SI";"SAN ISIDRO";"BUENOS AIRES";"PRIMARIA"
"ED-000007";"3376741F-C223-4FE6-A943-E46B3A0E7DA6";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000007";"25 DE MAYO";"48";"3376741F-C223-4FE6-A943-E46B3A0E7DA6";"VICENTE LOPEZ";"VICENTE LOPEZ";"BUENOS AIRES";"PRIMARIA"
"ED-000008";"799ADE85-205D-46A5-8EA2-958D9455394E";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000008";"25 DE MAYO";"49";"799ADE85-205D-46A5-8EA2-958D9455394E";"SAN ISIDRO - SI";"SAN ISIDRO";"BUENOS AIRES";"PRIMARIA"
"ED-000009";"343B8D41-3FC8-4B1A-9E4D-037B862DA41B";"AMBA";"GBA NORTE";"OPERATIVO";"25/07/2025";"CONSTRUIDO";"CONSTRUIDO";;;;;"ED-000009";"25 DE MAYO";"56";"343B8D41-3FC8-4B1A-9E4D-037B862DA41B";"VICENTE LOPEZ";"VICENTE LOPEZ";"BUENOS AIRES";"PRIMARIA"
